employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,Salary
8180,Operations,region_14,Bachelors,m,other,2,34,3,10,0,0,60,67244
24756,Operations,region_22,Bachelors,f,other,1,37,3,3,0,0,63,85021.26
56780,Sales & Marketing,region_2,Masters & above,f,sourcing,2,38,1,6,0,0,51,82437.69
59919,Finance,region_2,Bachelors,f,sourcing,1,24,5,2,1,0,57,58363.07
18924,Sales & Marketing,region_11,Masters & above,m,other,1,36,3,7,0,0,52,55807.43
42477,Procurement,region_2,Bachelors,m,other,1,41,2,15,0,0,70,64669.03
50900,Operations,region_22,Bachelors,m,other,2,29,,1,0,0,60,99917.53
11824,Technology,region_2,Masters & above,f,sourcing,2,59,1,15,0,0,76,42403.25
51740,Sales & Marketing,region_12,Bachelors,f,sourcing,1,29,3,1,0,0,48,66440.03
51364,Operations,region_22,Bachelors,f,other,1,29,5,3,0,0,57,95054.16
64265,Sales & Marketing,region_13,Bachelors,f,sourcing,3,31,1,5,0,0,51,54409.97
46233,Sales & Marketing,region_28,Bachelors,m,sourcing,1,31,5,7,0,0,51,42687.52
41215,Sales & Marketing,region_25,Bachelors,f,sourcing,1,31,4,3,0,0,50,47957.46
47172,Sales & Marketing,region_26,Bachelors,m,other,1,32,3,4,1,0,47,33244.13
53542,Procurement,region_26,Bachelors,f,other,1,49,4,8,0,0,68,64973.36
2121,Operations,region_2,Masters & above,m,other,1,42,5,11,0,0,59,90973.32
77677,Sales & Marketing,region_11,Bachelors,m,other,1,32,5,7,1,0,49,78004.03
38018,Analytics,region_11,Bachelors,m,other,1,30,3,4,0,0,80,31385.63
29799,Analytics,region_4,Bachelors,m,other,1,32,5,8,0,0,86,65651.63
565,Procurement,region_1,Bachelors,f,sourcing,2,29,1,2,0,0,74,39905.07
33473,Sales & Marketing,region_2,Bachelors,m,sourcing,2,31,1,6,0,0,50,33407.87
14628,Sales & Marketing,region_20,Bachelors,m,other,2,27,,1,1,1,48,75099.11
46339,Operations,region_34,Bachelors,m,other,1,30,3,2,1,0,58,66056.41
6352,Operations,region_2,Bachelors,f,sourcing,1,48,4,8,1,0,60,41479.32
63568,Sales & Marketing,region_2,Bachelors,m,sourcing,1,39,5,12,0,0,50,53815.39
15317,Analytics,region_23,Masters & above,m,sourcing,1,35,2,7,1,0,87,48201.11
63035,Technology,region_2,Bachelors,f,other,1,47,4,7,0,0,78,91445.38
22942,Sales & Marketing,region_31,Masters & above,m,other,1,46,5,3,1,0,51,76728.57
62212,Procurement,region_31,Masters & above,f,other,1,37,3,2,1,1,97,34456.55
49252,Operations,region_19,Bachelors,m,other,1,26,5,6,1,0,60,83089.29
38520,Technology,region_6,Bachelors,f,sourcing,1,31,5,4,1,0,87,40437.14
65459,Operations,region_27,,m,other,1,26,,1,1,0,56,77132.03
69109,Procurement,region_20,Bachelors,f,other,1,28,2,4,0,0,69,71151.4
67985,Operations,region_4,Masters & above,f,sourcing,2,36,1,6,1,1,65,82417.04
74040,Technology,region_24,Masters & above,f,other,1,35,1,7,0,0,80,79868.84
31049,Analytics,region_13,Bachelors,m,sourcing,1,34,4,9,0,0,84,53793.04
55523,Analytics,region_2,Masters & above,m,sourcing,2,58,5,6,1,0,81,69449.15
40579,Sales & Marketing,region_22,Masters & above,m,sourcing,1,29,2,5,1,0,50,69309.64
40211,Operations,region_13,Bachelors,m,other,1,36,2,9,0,0,59,58981.14
41982,R&D,region_2,Bachelors,m,sourcing,1,30,1,4,0,0,84,55968.33
24286,HR,region_2,Masters & above,f,other,1,40,3,10,0,0,49,76043.64
53696,Procurement,region_15,Bachelors,m,other,1,38,3,4,1,0,71,74849.7
47130,Sales & Marketing,region_11,Bachelors,m,other,1,36,2,5,0,0,52,62840.03
25340,Sales & Marketing,region_2,Bachelors,m,other,1,41,4,9,0,0,49,48616.87
16794,Procurement,region_22,Masters & above,m,other,1,33,5,5,1,0,66,99600.79
10399,Technology,region_31,Bachelors,m,sourcing,1,29,1,4,0,0,79,36406.68
9095,Operations,region_22,Masters & above,f,other,1,33,4,8,1,0,81,97460.94
60624,Sales & Marketing,region_7,Masters & above,f,other,1,41,1,2,0,0,47,66136.13
30188,Procurement,region_2,Masters & above,m,other,2,41,3,10,0,0,67,87425.83
19292,Operations,region_13,Masters & above,m,other,1,41,3,4,0,0,60,88611.74
58780,Technology,region_7,Bachelors,f,other,1,28,4,5,1,0,76,74162.8
33674,Sales & Marketing,region_7,Masters & above,f,sourcing,1,32,5,7,1,0,53,67699.16
17128,Technology,region_8,Bachelors,m,other,1,25,3,3,0,0,77,81696.84
28127,Technology,region_13,Below Secondary,f,sourcing,1,24,2,2,0,0,85,85674.51
42650,Sales & Marketing,region_7,Bachelors,m,other,1,53,4,10,1,0,45,33504.09
58393,Sales & Marketing,region_25,Masters & above,m,sourcing,1,38,5,12,1,0,49,84315.31
72037,Legal,region_22,Bachelors,m,sourcing,1,31,3,3,0,0,62,43834.42
33736,Sales & Marketing,region_2,Bachelors,f,other,2,51,3,17,0,0,52,84081.61
51260,Operations,region_14,Masters & above,m,sourcing,1,42,3,4,0,0,59,99154.39
21326,Operations,region_2,Masters & above,m,other,1,56,5,16,1,0,59,74232.66
